model_root,pair,dataset,domain,run,model,base_accuracy_strict,base_f1_macro_strict,accuracy_strict,f1_macro_strict,delta_accuracy_strict,delta_f1_macro_strict,delta_acc_bucket,delta_f1_bucket,n_total,source_file
llama-3b_newlayout,information,imdb,movie,avg,S,0.9265,0.927965996497824,0.9123,0.9123239707394948,-0.01419999999999999,-0.01564202575832918,decline,decline,10000.0,llama-3b_newlayout/information/summaries/sentiment.csv
llama-3b_newlayout,information,imdb_sklearn,movie,avg,S,0.9336,0.9335448794648232,0.9132,0.912860315031966,-0.020399999999999974,-0.020684564432857266,decline,decline,10000.0,llama-3b_newlayout/information/summaries/sentiment.csv
llama-3b_newlayout,information,mental,mental,avg,S,0.5971272876177277,0.5481880514291009,0.6225312627964847,0.5779823474677219,0.025403975178757032,0.02979429603862105,improve,improve,31747.0,llama-3b_newlayout/information/summaries/sentiment.csv
llama-3b_newlayout,information,news,finance,avg,S,0.600033526108457,0.6044963210398845,0.6113485877126812,0.607486408403984,0.011315061604224241,0.0029900873640995584,improve,tie,11931.0,llama-3b_newlayout/information/summaries/sentiment.csv
llama-3b_newlayout,information,sst2,movie,avg,S,0.8071,0.829650405547375,0.75875,0.7568940552036891,-0.048350000000000004,-0.07275635034368588,decline,decline,10000.0,llama-3b_newlayout/information/summaries/sentiment.csv
qwen-3b_newlayout,decision,fiqasa,finance,avg,F,0.7570332480818415,0.6343998774617803,0.7928388746803069,0.6376767932922134,0.03580562659846542,0.0032769158304331025,improve,tie,1173.0,qwen-3b_newlayout/decision/summaries/sentiment.csv
qwen-3b_newlayout,decision,imdb,movie,avg,F,0.9315,0.93143453300646,0.9359,0.9358857659989096,0.0043999999999999595,0.00445123299244965,tie,tie,10000.0,qwen-3b_newlayout/decision/summaries/sentiment.csv
qwen-3b_newlayout,decision,imdb_sklearn,movie,avg,F,0.9195,0.9192950359506324,0.9252,0.9250899174177014,0.005700000000000038,0.0057948814670689686,improve,improve,10000.0,qwen-3b_newlayout/decision/summaries/sentiment.csv
qwen-3b_newlayout,decision,mental,mental,avg,F,0.899549563738306,0.899497582631908,0.8709799351119791,0.8708290595454202,-0.028569628626326837,-0.028668523086487818,decline,decline,31747.0,qwen-3b_newlayout/decision/summaries/sentiment.csv
qwen-3b_newlayout,decision,news,finance,avg,F,0.7816612186740424,0.7485947871882003,0.7453692062693823,0.7111373013888578,-0.03629201240466007,-0.037457485799342494,decline,decline,11931.0,qwen-3b_newlayout/decision/summaries/sentiment.csv
