pair,dataset,run,model,test,statistic,df,p_value,effect_cramers_v,effect_tv,effect_js,n_total,n_used,n_dropped,labels,model_root,dimension
information,mental,run-002,S,mcnemar_exact,894.0,1,1.2598730015935168e-70,0.0972851093706833,0.0163976102707511,0.0003799526058928,31747,31468,279,normal|depression,llama-3b_newlayout,information
information,news,run-001,N,stuart_maxwell,1708.5463687257036,2,0.0,0.2675838907278532,0.1509513033274662,0.0176229991002524,11931,11931,0,neutral|bearish|bullish,llama-3b_newlayout,information
information,news,run-002,N,stuart_maxwell,1735.2257029749082,2,0.0,0.2696649891885367,0.1523761629368871,0.0179299074878437,11931,11931,0,neutral|bearish|bullish,llama-3b_newlayout,information
information,news,run-001,S,stuart_maxwell,1305.8508148202088,2,2.7421958380679316e-284,0.2339340079121487,0.0959684854580504,0.0085767164324663,11931,11931,0,neutral|bearish|bullish,llama-3b_newlayout,information
information,news,run-002,S,stuart_maxwell,1270.5743416196449,2,1.2539704239103412e-276,0.2307526088145371,0.0918615371720727,0.0081931974087794,11931,11931,0,neutral|bearish|bullish,llama-3b_newlayout,information
information,fiqasa,run-001,N,stuart_maxwell,48.193724420191,2,3.4266181504819126e-11,0.1433280661121916,0.0502983802216538,0.0031393977484014,1173,1173,0,positive|negative|neutral,llama-3b_newlayout,information
information,fiqasa,run-002,N,stuart_maxwell,64.82922326256099,2,8.36590705936107e-15,0.1662345933000011,0.0596760443307757,0.0036346730017987,1173,1173,0,positive|negative|neutral,llama-3b_newlayout,information
information,fiqasa,run-001,S,stuart_maxwell,295.5424449506454,2,6.664590885927896e-65,0.3549326298901221,0.2446717817561807,0.0814338628998299,1173,1173,0,positive|negative|neutral,llama-3b_newlayout,information
information,fiqasa,run-002,S,stuart_maxwell,293.1887637993224,2,2.162065580380076e-64,0.3535164743157939,0.2404092071611253,0.0778856265040838,1173,1173,0,positive|negative|neutral,llama-3b_newlayout,information
information,imdb_sklearn,run-001,N,stuart_maxwell,95.36734693877725,2,1.9554365807860666e-21,0.0690533659348975,0.0136999999999999,0.0001846979647746,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,information
information,imdb_sklearn,run-002,N,stuart_maxwell,125.27184466019752,2,6.274289639408248e-28,0.0791428596464006,0.0161,0.0002361994666731,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,information
information,imdb_sklearn,run-001,S,stuart_maxwell,338.3977900552485,2,3.294985785336889e-74,0.130076475593254,0.035,0.0008924461497525,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,information
information,imdb_sklearn,run-002,S,stuart_maxwell,310.4311377245509,2,3.897040665263276e-68,0.124585540437996,0.0322,0.0007549279690241,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,information
information,sst2,run-001,N,stuart_maxwell,857.5567759541436,2,6.080119879548649e-187,0.2070696472149097,0.0760999999999999,0.0132721218026405,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,information
information,sst2,run-002,N,stuart_maxwell,847.1777992882724,2,1.0906321331030164e-184,0.2058127546203432,0.0751999999999999,0.0122401810342224,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,information
information,sst2,run-001,S,stuart_maxwell,1192.2445287696096,2,1.2805308271224468e-259,0.2441561517522761,0.1196,0.0231605295368125,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,information
information,sst2,run-002,S,stuart_maxwell,1157.187978592013,2,5.2459383968373e-252,0.2405398073700082,0.116,0.0230995161870813,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,information
