pair,dataset,run,model,test,statistic,df,p_value,effect_cramers_v,effect_tv,effect_js,n_total,n_used,n_dropped,labels,model_root,dimension
information,news,run-001,S,stuart_maxwell,140.06298342541436,2,3.8522067661650966e-31,0.0766140226486472,0.0149191182633476,0.0001925005396699,11931,11931,0,neutral|bearish|bullish,qwen-7b_newlayout,information
information,news,run-002,S,stuart_maxwell,140.06298342541436,2,3.8522067661650966e-31,0.0766140226486472,0.0149191182633476,0.0001925005396699,11931,11931,0,neutral|bearish|bullish,qwen-7b_newlayout,information
information,fiqasa,run-001,N,stuart_maxwell,30.95391705069124,2,1.898638642878406e-07,0.1148666097861902,0.0306905370843989,0.0008149132008715,1173,1173,0,positive|negative|neutral,qwen-7b_newlayout,information
information,fiqasa,run-002,N,stuart_maxwell,30.95391705069124,2,1.898638642878406e-07,0.1148666097861902,0.0306905370843989,0.0008149132008715,1173,1173,0,positive|negative|neutral,qwen-7b_newlayout,information
information,fiqasa,run-001,S,stuart_maxwell,32.0,2,1.1253517471925917e-07,0.1167914324947567,0.0272804774083546,0.000617843220526,1173,1173,0,positive|negative|neutral,qwen-7b_newlayout,information
information,fiqasa,run-002,S,stuart_maxwell,32.0,2,1.1253517471925917e-07,0.1167914324947567,0.0272804774083546,0.000617843220526,1173,1173,0,positive|negative|neutral,qwen-7b_newlayout,information
information,imdb_sklearn,run-001,N,stuart_maxwell,119.08751536827988,2,1.3818936016491583e-26,0.0771646017835509,0.0138,0.0013067481642005,10000,10000,0,positive|negative|neutral,qwen-7b_newlayout,information
information,imdb_sklearn,run-002,N,stuart_maxwell,119.08751536827988,2,1.3818936016491583e-26,0.0771646017835509,0.0138,0.0013067481642005,10000,10000,0,positive|negative|neutral,qwen-7b_newlayout,information
information,imdb_sklearn,run-001,S,stuart_maxwell,22.955284552845526,2,1.0359130259707558e-05,0.0338786692129764,0.0040999999999999,0.0002348190349638,10000,10000,0,positive|negative|neutral,qwen-7b_newlayout,information
information,imdb_sklearn,run-002,S,stuart_maxwell,22.955284552845526,2,1.0359130259707558e-05,0.0338786692129764,0.0040999999999999,0.0002348190349638,10000,10000,0,positive|negative|neutral,qwen-7b_newlayout,information
information,sst2,run-001,N,stuart_maxwell,119.24906289046228,2,1.2746619071887691e-26,0.0772169226563912,0.0125999999999999,0.0001342907564289,10000,10000,0,positive|negative|neutral,qwen-7b_newlayout,information
information,sst2,run-002,N,stuart_maxwell,119.24906289046228,2,1.2746619071887691e-26,0.0772169226563912,0.0125999999999999,0.0001342907564289,10000,10000,0,positive|negative|neutral,qwen-7b_newlayout,information
information,sst2,run-001,S,stuart_maxwell,148.98001704706886,2,4.460672526097685e-33,0.0863075944071751,0.0146,0.0003588846248263,10000,10000,0,positive|negative|neutral,qwen-7b_newlayout,information
information,sst2,run-002,S,stuart_maxwell,148.98001704706886,2,4.460672526097685e-33,0.0863075944071751,0.0146,0.0003588846248263,10000,10000,0,positive|negative|neutral,qwen-7b_newlayout,information
