model,dataset,variant,label,proportion,macro_f1
Qwen2.5-3B,Mental,N,depression,0.5963331653225806,0.8368013402389158
Qwen2.5-3B,Mental,F,normal,0.45103474344032507,0.8708290595454202
Qwen2.5-3B,Mental,F,depression,0.548965256559675,0.8708290595454202
Qwen2.5-3B,Mental,T,normal,0.544807383374807,0.909180696782071
Qwen2.5-3B,Mental,T,depression,0.4551926166251929,0.909180696782071
Qwen2.5-3B,Mental,J,normal,0.4463065049614112,0.8675636630440682
Qwen2.5-3B,Mental,J,depression,0.5536934950385888,0.8675636630440682
Qwen2.5-3B,Mental,P,normal,0.4532682312175146,0.8704982552698288
Qwen2.5-3B,Mental,P,depression,0.5467317687824854,0.8704982552698288
Qwen2.5-7B,FiQA-SA,Base,positive,0.6084788029925188,0.635756094201861
Qwen2.5-7B,FiQA-SA,Base,negative,0.3915211970074813,0.635756094201861
Qwen2.5-7B,FiQA-SA,E,positive,0.6198347107438017,0.6545848822241199
Qwen2.5-7B,FiQA-SA,E,negative,0.3801652892561983,0.6545848822241199
Qwen2.5-7B,FiQA-SA,I,positive,0.5915678524374177,0.620902591396088
Qwen2.5-7B,FiQA-SA,I,negative,0.40843214756258234,0.620902591396088
Qwen2.5-7B,FiQA-SA,S,positive,0.6038961038961039,0.6289724959753324
Qwen2.5-7B,FiQA-SA,S,negative,0.3961038961038961,0.6289724959753324
Qwen2.5-7B,FiQA-SA,N,positive,0.6121718377088305,0.6487523762147565
Qwen2.5-7B,FiQA-SA,N,negative,0.3878281622911695,0.6487523762147565
Qwen2.5-7B,FiQA-SA,F,positive,0.6279342723004695,0.6562452049819567
Qwen2.5-7B,FiQA-SA,F,negative,0.3720657276995305,0.6562452049819567
Qwen2.5-7B,FiQA-SA,T,positive,0.5891891891891892,0.6121031516890839
Qwen2.5-7B,FiQA-SA,T,negative,0.41081081081081083,0.6121031516890839
Qwen2.5-7B,FiQA-SA,J,positive,0.6035928143712574,0.639969773531471
Qwen2.5-7B,FiQA-SA,J,negative,0.39640718562874244,0.639969773531471
Qwen2.5-7B,FiQA-SA,P,positive,0.6148825065274152,0.6245451012289842
Qwen2.5-7B,FiQA-SA,P,negative,0.3851174934725849,0.6245451012289842
Qwen2.5-7B,IMDb,Base,positive,0.48670879727154176,0.9459507481508174
Qwen2.5-7B,IMDb,Base,negative,0.5132912027284582,0.9459507481508174
Qwen2.5-7B,IMDb,E,positive,0.4920794064567876,0.9469245210115458
Qwen2.5-7B,IMDb,E,negative,0.5079205935432124,0.9469245210115458
Qwen2.5-7B,IMDb,I,positive,0.4800441235459286,0.9436848766803608
Qwen2.5-7B,IMDb,I,negative,0.5199558764540714,0.9436848766803608
Qwen2.5-7B,IMDb,S,positive,0.4826134883254835,0.9446656720396414
Qwen2.5-7B,IMDb,S,negative,0.5173865116745164,0.9446656720396414
Qwen2.5-7B,IMDb,N,positive,0.4887527615987146,0.9462748118502492
Qwen2.5-7B,IMDb,N,negative,0.5112472384012854,0.9462748118502492
Qwen2.5-7B,IMDb,F,positive,0.495782285599518,0.9472871084639938
Qwen2.5-7B,IMDb,F,negative,0.504217714400482,0.9472871084639938
Qwen2.5-7B,IMDb,T,positive,0.473531181070784,0.941567398802251
Qwen2.5-7B,IMDb,T,negative,0.5264688189292159,0.941567398802251
Qwen2.5-7B,IMDb,J,positive,0.48551378446115284,0.945562614933653
Qwen2.5-7B,IMDb,J,negative,0.5144862155388471,0.945562614933653
Qwen2.5-7B,IMDb,P,positive,0.4879076768690417,0.9457417237617818
Qwen2.5-7B,IMDb,P,negative,0.5120923231309583,0.9457417237617818
Qwen2.5-7B,IMDb-Sklearn,Base,positive,0.4845112781954887,0.9476730408722372
Qwen2.5-7B,IMDb-Sklearn,Base,negative,0.5154887218045112,0.9476730408722372
Qwen2.5-7B,IMDb-Sklearn,E,positive,0.495876081271374,0.9520606338287474
Qwen2.5-7B,IMDb-Sklearn,E,negative,0.504123918728626,0.9520606338287474
Qwen2.5-7B,IMDb-Sklearn,I,positive,0.4867256637168142,0.9503545651347288
Qwen2.5-7B,IMDb-Sklearn,I,negative,0.5132743362831859,0.9503545651347288
Qwen2.5-7B,IMDb-Sklearn,S,positive,0.4875426964034559,0.9497779256664683
Qwen2.5-7B,IMDb-Sklearn,S,negative,0.5124573035965441,0.9497779256664683
Qwen2.5-7B,IMDb-Sklearn,N,positive,0.4953610326744655,0.9512947371478268
Qwen2.5-7B,IMDb-Sklearn,N,negative,0.5046389673255344,0.9512947371478268
Qwen2.5-7B,IMDb-Sklearn,F,positive,0.4937179616041813,0.9494205918898344
Qwen2.5-7B,IMDb-Sklearn,F,negative,0.5062820383958186,0.9494205918898344
Qwen2.5-7B,IMDb-Sklearn,T,positive,0.47076521913549296,0.942715230505326
Qwen2.5-7B,IMDb-Sklearn,T,negative,0.529234780864507,0.942715230505326
Qwen2.5-7B,IMDb-Sklearn,J,positive,0.489693313222725,0.9510129326897868
Qwen2.5-7B,IMDb-Sklearn,J,negative,0.510306686777275,0.9510129326897868
Qwen2.5-7B,IMDb-Sklearn,P,positive,0.4930555555555555,0.9511420078532524
Qwen2.5-7B,IMDb-Sklearn,P,negative,0.5069444444444444,0.9511420078532524
Qwen2.5-7B,SST-2,Base,positive,0.47883765003158557,0.8941546967661184
Qwen2.5-7B,SST-2,Base,negative,0.5211623499684144,0.8941546967661184
Qwen2.5-7B,SST-2,E,positive,0.49212846347607053,0.9020177950959104
Qwen2.5-7B,SST-2,E,negative,0.5078715365239295,0.9020177950959104
Qwen2.5-7B,SST-2,I,positive,0.46534967251214876,0.8838172897903334
Qwen2.5-7B,SST-2,I,negative,0.5346503274878512,0.8838172897903334
Qwen2.5-7B,SST-2,S,positive,0.4677933673469387,0.8853945119529468
Qwen2.5-7B,SST-2,S,negative,0.5322066326530612,0.8853945119529468
Qwen2.5-7B,SST-2,N,positive,0.4902392947103274,0.9013037702216392
Qwen2.5-7B,SST-2,N,negative,0.5097607052896725,0.9013037702216392
Qwen2.5-7B,SST-2,F,positive,0.5052369594524525,0.9116279698117116
Qwen2.5-7B,SST-2,F,negative,0.49476304054754744,0.9116279698117116
Qwen2.5-7B,SST-2,T,positive,0.44745325596389424,0.8701925670674756
Qwen2.5-7B,SST-2,T,negative,0.5525467440361057,0.8701925670674756
Qwen2.5-7B,SST-2,J,positive,0.47647919715659626,0.8941314687129662
