model_root,pair,model,dataset,test,n_rows,n_sig_p_lt_0.05,sig_rate,p_min,p_median,p_max,effect_cramers_v_median,effect_tv_median,effect_js_median
qwen-3b_newlayout,decision,T,mental,mcnemar_exact,2,2,1.0,0.0,0.0,0.0,0.1916463124824113,0.03685387595678333,0.000982700662679862
qwen-3b_newlayout,decision,T,news,stuart_maxwell,2,2,1.0,1.1961729327975913e-113,1.1961729327975913e-113,1.1961729327975913e-113,0.14762472391997047,0.0418238203000587,0.0017728731666684545
qwen-3b_newlayout,decision,T,sst2,stuart_maxwell,2,2,1.0,2.079311581343535e-117,2.079311581343535e-117,2.079311581343535e-117,0.16391168933663056,0.05360000000000001,0.0026199313391118673
qwen-3b_newlayout,energy,E,fiqasa,stuart_maxwell,2,2,1.0,9.460809053455215e-19,9.460809053455215e-19,9.460809053455215e-19,0.18809848244901925,0.06990622335890881,0.0055691886323185145
qwen-3b_newlayout,energy,E,imdb,stuart_maxwell,2,2,1.0,3.2213402859924316e-27,3.2213402859924316e-27,3.2213402859924316e-27,0.07810249675906657,0.012199999999999989,0.0001076328554367673
qwen-3b_newlayout,energy,E,imdb_sklearn,stuart_maxwell,2,2,1.0,2.3307036880690666e-53,2.3307036880690666e-53,2.3307036880690666e-53,0.11008671113929076,0.0252,0.0004620330414819244
qwen-3b_newlayout,energy,E,mental,mcnemar_exact,2,2,1.0,1.176734e-317,1.176734e-317,1.176734e-317,0.19997820563787655,0.05055595804327964,0.0018467036436898877
qwen-3b_newlayout,energy,E,news,stuart_maxwell,2,2,1.0,4.5923080910016624e-17,4.5923080910016624e-17,4.5923080910016624e-17,0.056152417069670627,0.010057832537088265,0.00011610179848583774
qwen-3b_newlayout,energy,E,sst2,stuart_maxwell,2,2,1.0,1.9219477278177058e-98,1.9219477278177058e-98,1.9219477278177058e-98,0.15000000000000105,0.04499999999999998,0.0016601436334464856
qwen-3b_newlayout,energy,I,fiqasa,stuart_maxwell,2,2,1.0,9.03443971710817e-14,9.03443971710817e-14,9.03443971710817e-14,0.160016909252192,0.05029838022165389,0.003415396425916345
qwen-3b_newlayout,energy,I,imdb,stuart_maxwell,2,2,1.0,1.0806392777073147e-30,1.0806392777073147e-30,1.0806392777073147e-30,0.08306623862918074,0.013799999999999979,0.00013816758577220572
qwen-3b_newlayout,energy,I,imdb_sklearn,stuart_maxwell,2,0,0.0,0.8963942066351505,0.8963942066351505,0.8963942066351505,0.003307189138830738,0.0006999999999999507,3.584198479609753e-07
qwen-3b_newlayout,energy,I,mental,mcnemar_exact,2,2,1.0,0.0,0.0,0.0,0.2341855356033719,0.06306107663716257,0.0028769046519054736
qwen-3b_newlayout,energy,I,news,stuart_maxwell,2,2,1.0,8.897536735397802e-263,8.897536735397802e-263,8.897536735397802e-263,0.22488583885049257,0.10099740172659463,0.008039773724585274
qwen-3b_newlayout,energy,I,sst2,stuart_maxwell,2,2,1.0,1.338378724241388e-102,1.338378724241388e-102,1.338378724241388e-102,0.15315750732864553,0.046900000000000025,0.0019397749218304674
qwen-3b_newlayout,execution,J,fiqasa,stuart_maxwell,2,2,1.0,4.8616959578230376e-18,4.8616959578230376e-18,4.8616959578230376e-18,0.1843519196904492,0.062233589087809044,0.0074551751457056885
qwen-3b_newlayout,execution,J,imdb,stuart_maxwell,2,0,0.0,0.24935220877729608,0.24935220877729608,0.24935220877729608,0.011785113019775794,0.0010000000000000009,7.240240994328055e-07
qwen-3b_newlayout,execution,J,imdb_sklearn,stuart_maxwell,2,2,1.0,4.6163751585747785e-24,4.6163751585747785e-24,4.6163751585747785e-24,0.07330240953231511,0.014100000000000001,0.00014495067291008228
qwen-3b_newlayout,execution,J,mental,mcnemar_exact,2,2,1.0,0.0,0.0,0.0,0.2299393459424091,0.061675118908873255,0.002751400301849956
qwen-3b_newlayout,execution,J,news,stuart_maxwell,2,2,1.0,9.018657986708463e-15,9.018657986708463e-15,9.018657986708463e-15,0.052062869267563004,0.01106361579079708,9.070942747830234e-05
qwen-3b_newlayout,execution,J,sst2,stuart_maxwell,2,2,1.0,5.003130233524603e-28,5.003130233524603e-28,5.003130233524603e-28,0.07928576091618202,0.012799999999999988,0.0003040228775352806
qwen-3b_newlayout,execution,P,fiqasa,stuart_maxwell,2,2,1.0,5.7202124073982465e-12,5.7202124073982465e-12,5.7202124073982465e-12,0.14855661091689892,0.0434782608695652,0.0028520222188987195
qwen-3b_newlayout,execution,P,imdb,stuart_maxwell,2,2,1.0,0.026541857653049544,0.026541857653049544,0.026541857653049544,0.019050019050028576,0.001500000000000029,1.6289555698713234e-06
qwen-3b_newlayout,execution,P,imdb_sklearn,stuart_maxwell,2,2,1.0,7.19370164597518e-21,7.19370164597518e-21,7.19370164597518e-21,0.06810365708321474,0.0131,0.0001251448243301265
qwen-3b_newlayout,execution,P,mental,mcnemar_exact,2,2,1.0,0.0,0.0,0.0,0.2104916265998905,0.05471383122814749,0.0021637737802552015
qwen-3b_newlayout,execution,P,news,stuart_maxwell,2,2,1.0,2.538703555963137e-249,2.538703555963137e-249,2.538703555963137e-249,0.21903622962080907,0.09529796328891126,0.007006667672769761
qwen-3b_newlayout,execution,P,sst2,stuart_maxwell,2,2,1.0,6.79268973299643e-32,6.79268973299643e-32,6.79268973299643e-32,0.08471533272151023,0.014000000000000007,0.0002690286846708256
qwen-3b_newlayout,information,N,fiqasa,stuart_maxwell,2,2,1.0,0.005379148303579953,0.005379148303579953,0.005379148303579953,0.0667426584704082,0.01108269394714409,9.359468549020292e-05
qwen-3b_newlayout,information,N,imdb,stuart_maxwell,2,2,1.0,5.001258439318258e-18,5.001258439318258e-18,5.001258439318258e-18,0.063116433759571,0.008700000000000013,5.475387694647881e-05
qwen-3b_newlayout,information,N,imdb_sklearn,stuart_maxwell,2,2,1.0,6.980039303791045e-33,6.980039303791045e-33,6.980039303791045e-33,0.08604780852591741,0.017700000000000028,0.00023911078792191923
qwen-3b_newlayout,information,N,mental,mcnemar_exact,2,2,1.0,0.0,0.0,0.0,0.3157463823746982,0.10433139087372958,0.007928677723926202
qwen-3b_newlayout,information,N,news,stuart_maxwell,2,2,1.0,6.174140359554847e-110,6.174140359554847e-110,6.174140359554847e-110,0.14517755526298565,0.03612438186237535,0.0020017909162854536
qwen-3b_newlayout,information,N,sst2,stuart_maxwell,2,0,0.0,0.8274680349261799,0.8274680349261799,0.8274680349261799,0.004351836405071063,0.0005999999999999671,2.3600591412587554e-06
qwen-3b_newlayout,information,S,fiqasa,stuart_maxwell,2,2,1.0,8.510222889491018e-06,8.510222889491018e-06,8.510222889491018e-06,0.09976204606371492,0.019607843137254895,0.000670865271435968
qwen-3b_newlayout,information,S,imdb,stuart_maxwell,2,2,1.0,9.454886273886723e-18,9.454886273886723e-18,9.454886273886723e-18,0.0626099033699941,0.00839999999999999,5.11509685238885e-05
qwen-3b_newlayout,information,S,imdb_sklearn,stuart_maxwell,2,2,1.0,6.834001016881112e-13,6.834001016881112e-13,6.834001016881112e-13,0.05292607666021746,0.009700000000000047,0.00011803112716083142
qwen-3b_newlayout,information,S,mental,mcnemar_exact,2,2,1.0,9.315593019970916e-44,9.315593019970916e-44,9.315593019970916e-44,0.07714133521534097,0.01653751655392592,0.00019729000378219518
qwen-3b_newlayout,information,S,news,stuart_maxwell,2,2,1.0,6.2060181116797184e-167,6.2060181116797184e-167,6.2060181116797184e-167,0.1790994784201237,0.06219093118766239,0.00342915533367405
qwen-3b_newlayout,information,S,sst2,stuart_maxwell,2,2,1.0,6.107963418348283e-06,6.107963418348283e-06,6.107963418348283e-06,0.03464955578324678,0.005599999999999983,4.6891559984051936e-05
qwen-7b_newlayout,decision,F,fiqasa,stuart_maxwell,2,2,1.0,3.648605770161875e-11,3.648605770161875e-11,3.648605770161875e-11,0.14314126262146998,0.042625745950554156,0.0017803771656897602
qwen-7b_newlayout,decision,F,imdb,stuart_maxwell,2,2,1.0,1.7108394455527868e-21,1.7108394455527868e-21,1.7108394455527868e-21,0.06915005625376035,0.00960000000000003,0.00011941965249643986
qwen-7b_newlayout,decision,F,imdb_sklearn,stuart_maxwell,2,2,1.0,1.550635829899271e-23,1.550635829899271e-23,1.550635829899271e-23,0.072471230208413,0.010499999999999987,0.0003895449375748354
qwen-7b_newlayout,decision,F,mental,mcnemar_exact,2,2,1.0,0.0,0.0,0.0,0.18866820200858814,0.03575253380350733,0.0009933141953235762
qwen-7b_newlayout,decision,F,news,stuart_maxwell,2,2,1.0,3.0255834341145405e-112,6.053094767397756e-111,1.1803631191384058e-110,0.14617957440661278,0.049073841253876434,0.0018971287712958116
qwen-7b_newlayout,decision,F,sst2,stuart_maxwell,2,2,1.0,2.1498594423545546e-72,2.1498594423545546e-72,2.1498594423545546e-72,0.12846039242942467,0.0325,0.0014338831946242511
qwen-7b_newlayout,decision,T,fiqasa,stuart_maxwell,2,2,1.0,7.921056831539865e-14,7.921056831539865e-14,7.921056831539865e-14,0.16036687123644852,0.05285592497868713,0.0024215929471609783
qwen-7b_newlayout,decision,T,imdb,stuart_maxwell,2,2,1.0,2.276511152387597e-30,2.276511152387597e-30,2.276511152387597e-30,0.08261652904541701,0.013399999999999995,0.00014099069954152433
qwen-7b_newlayout,decision,T,imdb_sklearn,stuart_maxwell,2,2,1.0,2.5768192596634824e-31,2.628558295246354e-31,2.6802973308292256e-31,0.0839129875191577,0.013899999999999992,0.00014933330343013375
qwen-7b_newlayout,decision,T,mental,mcnemar_exact,2,2,1.0,0.0,0.0,0.0,0.18491748363563654,0.034257364492600154,0.000881037985671
qwen-7b_newlayout,decision,T,news,stuart_maxwell,2,2,1.0,5.596721367097203e-104,5.596721367097203e-104,5.596721367097203e-104,0.14116232323666253,0.03285558628782167,0.0009121941187832036
