dataset,df,effect_cramers_v,effect_js,effect_tv,labels,model,model_root,n_dropped,n_total,n_used,p_value,pair,run,source_file,statistic,test
imdb,2,0.07751327275645216,0.0011063357294073073,0.013099999999999992,positive|negative|neutral,P,llama-3b_newlayout,0,10000,10000,8.058464072846151e-27,execution,run-002,llama-3b_newlayout/execution/summaries/sentiment_significance.csv,120.166149068323,stuart_maxwell
mental,1,0.1610421427543616,0.0028610508524238125,0.04688856729377712,normal|depression,J,llama-3b_newlayout,652,31747,31095,2.2894974118683677e-187,execution,run-001,llama-3b_newlayout/execution/summaries/sentiment_significance.csv,2636.0,mcnemar_exact
mental,1,0.15447800535233547,0.0026247384047391725,0.044767497833830744,normal|depression,J,llama-3b_newlayout,586,31747,31161,3.748853945219033e-172,execution,run-002,llama-3b_newlayout/execution/summaries/sentiment_significance.csv,2617.0,mcnemar_exact
mental,1,0.5981781073440371,0.11046889005749938,0.3586641194367791,normal|depression,P,llama-3b_newlayout,3481,31747,28266,0.0,execution,run-001,llama-3b_newlayout/execution/summaries/sentiment_significance.csv,10162.0,mcnemar_exact
mental,1,0.5961101789604467,0.10967743201254736,0.35625393274138295,normal|depression,P,llama-3b_newlayout,3141,31747,28606,0.0,execution,run-002,llama-3b_newlayout/execution/summaries/sentiment_significance.csv,10217.0,mcnemar_exact
news,2,0.11661316306637896,0.0013269949813683214,0.03520241387980888,neutral|bearish|bullish,J,llama-3b_newlayout,0,11931,11931,3.4497075338420406e-71,execution,run-001,llama-3b_newlayout/execution/summaries/sentiment_significance.csv,324.4905042958536,stuart_maxwell
news,2,0.11677506729962189,0.0013699467311392363,0.03704634984494176,neutral|bearish|bullish,J,llama-3b_newlayout,0,11931,11931,2.197802980718224e-71,execution,run-002,llama-3b_newlayout/execution/summaries/sentiment_significance.csv,325.39216677263863,stuart_maxwell
news,2,0.05972154371897105,0.0005253520945491005,0.02070237197217334,neutral|bearish|bullish,P,llama-3b_newlayout,0,11931,11931,3.3044270141263745e-19,execution,run-001,llama-3b_newlayout/execution/summaries/sentiment_significance.csv,85.10770735603087,stuart_maxwell
news,2,0.06782796017476436,0.0007424834140100725,0.025396027156147832,neutral|bearish|bullish,P,llama-3b_newlayout,0,11931,11931,1.4504874534702362e-24,execution,run-002,llama-3b_newlayout/execution/summaries/sentiment_significance.csv,109.78028511422329,stuart_maxwell
fiqasa,2,0.3584278683115051,0.07732849974652807,0.23103154305200338,positive|negative|neutral,J,llama-3b_newlayout,0,1173,1173,3.5775438585797236e-66,execution,run-001,llama-3b_newlayout/execution/summaries/sentiment_significance.csv,301.3918792913453,stuart_maxwell
fiqasa,2,0.35733148439804974,0.07631488199569395,0.2293265132139813,positive|negative|neutral,J,llama-3b_newlayout,0,1173,1173,8.981660445879826e-66,execution,run-002,llama-3b_newlayout/execution/summaries/sentiment_significance.csv,299.55086273499865,stuart_maxwell
fiqasa,2,0.21792820274278246,0.010743610733592594,0.08951406649616367,positive|negative|neutral,P,llama-3b_newlayout,0,1173,1173,6.396099848154354e-25,execution,run-001,llama-3b_newlayout/execution/summaries/sentiment_significance.csv,111.41787783794055,stuart_maxwell
fiqasa,2,0.22016248428028717,0.011022747042781621,0.09462915601023018,positive|negative|neutral,P,llama-3b_newlayout,0,1173,1173,2.0289835828732195e-25,execution,run-002,llama-3b_newlayout/execution/summaries/sentiment_significance.csv,113.71418471056121,stuart_maxwell
imdb_sklearn,2,0.03386498982979281,0.0006630582569894859,0.004800000000000014,positive|negative|neutral,J,llama-3b_newlayout,0,10000,10000,1.045557361220534e-05,execution,run-001,llama-3b_newlayout/execution/summaries/sentiment_significance.csv,22.93675072343941,stuart_maxwell
imdb_sklearn,2,0.030816333221373865,0.0008038205671864536,0.0029000000000000184,positive|negative|neutral,J,llama-3b_newlayout,0,10000,10000,7.511697955739692e-05,execution,run-002,llama-3b_newlayout/execution/summaries/sentiment_significance.csv,18.99292786421501,stuart_maxwell
imdb_sklearn,2,0.07605095746413043,0.002730649657410458,0.015899999999999977,positive|negative|neutral,P,llama-3b_newlayout,0,10000,10000,7.6120392498684e-26,execution,run-001,llama-3b_newlayout/execution/summaries/sentiment_significance.csv,115.67496262421952,stuart_maxwell
imdb_sklearn,2,0.08060522000799522,0.0033916134156977778,0.01700000000000001,positive|negative|neutral,P,llama-3b_newlayout,0,10000,10000,6.067537089743221e-29,execution,run-002,llama-3b_newlayout/execution/summaries/sentiment_significance.csv,129.94402985074626,stuart_maxwell
sst2,2,0.17351445445977698,0.008230332968464503,0.059600000000000035,positive|negative|neutral,J,llama-3b_newlayout,0,10000,10000,1.7611871830552177e-131,execution,run-001,llama-3b_newlayout/execution/summaries/sentiment_significance.csv,602.1453181294803,stuart_maxwell
sst2,2,0.1626085677104424,0.007245221296633216,0.052000000000000025,positive|negative|neutral,J,llama-3b_newlayout,0,10000,10000,1.464952422598814e-115,execution,run-002,llama-3b_newlayout/execution/summaries/sentiment_significance.csv,528.8309258568307,stuart_maxwell
sst2,2,0.2008114742466089,0.01099854969619167,0.0684,positive|negative|neutral,P,llama-3b_newlayout,0,10000,10000,7.407510929935982e-176,execution,run-001,llama-3b_newlayout/execution/summaries/sentiment_significance.csv,806.5049637819293,stuart_maxwell
sst2,2,0.2090883826917653,0.012468184140673511,0.07379999999999999,positive|negative|neutral,P,llama-3b_newlayout,0,10000,10000,1.3656764891105959e-190,execution,run-002,llama-3b_newlayout/execution/summaries/sentiment_significance.csv,874.3590355331621,stuart_maxwell
imdb,2,0.11460881123814547,0.006669715497120474,0.022699999999999967,positive|negative|neutral,N,llama-3b_newlayout,0,10000,10000,9.008235905031807e-58,information,run-001,llama-3b_newlayout/information/summaries/sentiment_significance.csv,262.7035922684172,stuart_maxwell
imdb,2,0.1193123075143795,0.007352221087798158,0.024400000000000005,positive|negative|neutral,N,llama-3b_newlayout,0,10000,10000,1.5008153417098742e-62,information,run-002,llama-3b_newlayout/information/summaries/sentiment_significance.csv,284.7085344881172,stuart_maxwell
imdb,2,0.11936601316618592,0.0011499378838283223,0.02980000000000002,positive|negative|neutral,S,llama-3b_newlayout,0,10000,10000,1.320254833609457e-62,information,run-001,llama-3b_newlayout/information/summaries/sentiment_significance.csv,284.9649019838014,stuart_maxwell
imdb,2,0.11506878905445529,0.0011454117874391957,0.02809999999999999,positive|negative|neutral,S,llama-3b_newlayout,0,10000,10000,3.1320046069836982e-58,information,run-002,llama-3b_newlayout/information/summaries/sentiment_significance.csv,264.8165242891746,stuart_maxwell
mental,1,0.2096790006674712,0.003482242480179285,0.044960254372019046,normal|depression,N,llama-3b_newlayout,297,31747,31450,0.0,information,run-001,llama-3b_newlayout/information/summaries/sentiment_significance.csv,1446.0,mcnemar_exact
mental,1,0.20102833233659442,0.0029121024240578285,0.04140562887581491,normal|depression,N,llama-3b_newlayout,302,31747,31445,0.0,information,run-002,llama-3b_newlayout/information/summaries/sentiment_significance.csv,1334.0,mcnemar_exact
mental,1,0.10029851464221134,0.00040329926576387724,0.01690498887829682,normal|depression,S,llama-3b_newlayout,277,31747,31470,2.69718439421178e-75,information,run-001,llama-3b_newlayout/information/summaries/sentiment_significance.csv,894.0,mcnemar_exact
mental,1,0.09728510937068333,0.00037995260589281793,0.016397610270751192,normal|depression,S,llama-3b_newlayout,279,31747,31468,1.2598730015935167e-70,information,run-002,llama-3b_newlayout/information/summaries/sentiment_significance.csv,894.0,mcnemar_exact
